"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 23:33:31,FALSE,NA,"982038555248640000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juliesCamp",4873,TRUE,FALSE,NA,NA
"2","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:33:23,FALSE,NA,"982038520058478593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cincap42",11186,TRUE,FALSE,NA,NA
"3","Royal family ‘superfan’ prepares for upcoming wedding : https://t.co/pKplI1akeS via @ReutersTV video This person desperately needs a life.",FALSE,0,NA,2018-04-05 23:33:18,FALSE,NA,"982038502299832321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ttommyunger",0,FALSE,FALSE,NA,NA
"4","RT @crooksandliars: Donald Trump has been an embarrassing sexist pig for decades.  It's caught up with him on the royal wedding invite fron…",FALSE,0,NA,2018-04-05 23:33:08,FALSE,NA,"982038456506478592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mamaezzj",51,TRUE,FALSE,NA,NA
"5","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:33:06,FALSE,NA,"982038448574836736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GoDogGo1",11186,TRUE,FALSE,NA,NA
"6","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:33:04,FALSE,NA,"982038442921127936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarbStewart15",11186,TRUE,FALSE,NA,NA
"7","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:33:03,FALSE,NA,"982038436508037120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_elocinx",11186,TRUE,FALSE,NA,NA
"8","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:32:38,FALSE,NA,"982038332543823875",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheRealSmokingL",11186,TRUE,FALSE,NA,NA
"9","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:32:33,FALSE,NA,"982038312113311744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ConradBeckner",11186,TRUE,FALSE,NA,NA
"10","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:32:29,FALSE,NA,"982038295797317633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kuyabudzy",11186,TRUE,FALSE,NA,NA
"11","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:32:23,FALSE,NA,"982038270858018816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GailLedesma3",11186,TRUE,FALSE,NA,NA
"12","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:32:02,FALSE,NA,"982038180139433984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rychemom",345,TRUE,FALSE,NA,NA
"13","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:55,FALSE,NA,"982038152809533440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dontdumbdown",11186,TRUE,FALSE,NA,NA
"14","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:41,FALSE,NA,"982038093359468546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamitisnky",11186,TRUE,FALSE,NA,NA
"15","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:32,FALSE,NA,"982038054360641537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dunman55Ian",11186,TRUE,FALSE,NA,NA
"16","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:26,FALSE,NA,"982038031291990016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheMadBaker61",11186,TRUE,FALSE,NA,NA
"17","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:25,FALSE,NA,"982038024253988864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lonegarbo",11186,TRUE,FALSE,NA,NA
"18","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:18,FALSE,NA,"982037998521872384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wayneweismantel",11186,TRUE,FALSE,NA,NA
"19","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:31:06,FALSE,NA,"982037946122539008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EnterlineBrenda",11186,TRUE,FALSE,NA,NA
"20","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:30:41,FALSE,NA,"982037843496325120",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rrguy2147",11186,TRUE,FALSE,NA,NA
"21","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 23:30:41,FALSE,NA,"982037841902473217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woodmanhat",4873,TRUE,FALSE,NA,NA
"22","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 23:30:27,FALSE,NA,"982037784138432512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lonegarbo",4873,TRUE,FALSE,NA,NA
"23","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:30:27,FALSE,NA,"982037783756791808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AudramMoore",11186,TRUE,FALSE,NA,NA
"24","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:30:21,FALSE,NA,"982037756137402368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KristenSHampton",11186,TRUE,FALSE,NA,NA
"25","Will Meghan Markle follow royal tradition for bouquets? <ed><U+00A0><U+00BD><ed><U+00B2><U+0090> #royalwedding https://t.co/5qGIvHvrO0",FALSE,0,NA,2018-04-05 23:30:18,FALSE,NA,"982037744309407744",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","hellomagUS",0,FALSE,FALSE,NA,NA
"26","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 23:30:10,FALSE,NA,"982037710436229120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Queen_Paola_",4873,TRUE,FALSE,NA,NA
"27","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:30:01,FALSE,NA,"982037675870998534",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dale_leopold",11186,TRUE,FALSE,NA,NA
"28","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:29:51,FALSE,NA,"982037633109864449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","traveler1717",11186,TRUE,FALSE,NA,NA
"29","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:29:51,FALSE,NA,"982037632665317376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gklaurent",11186,TRUE,FALSE,NA,NA
